snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,entry_policy
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260705_1709.json,2026-07-05T09:09:37Z,2026-07-05 17:09:37,2026-07-05 17:09:37,17,9,Chengdu,t1_trading,2026-07-05,C,38,d1_no,no,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-05T09:00:00Z,18,33.7,-3.299999999999997,2026-07-05T14:00,3.15,open_meteo_live_gfs,0.96,0.9,0.06,5.0,2791.23,99.67,4.0000000000000036,0xc9ec734da08a087bb9a8d37b1c8f6b52e154b0ba05b33142d7154fb1ac6ce730,2778882,0.1,0.04,0.96,0.9,Will the highest temperature in Chengdu be 38°C on July 5?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,busted_lt_minus1,at_high,17,d1_no_late_confirmed
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260705_1709.json,2026-07-05T09:09:37Z,2026-07-05 17:09:37,2026-07-05 17:09:37,17,9,Chongqing,t2_research,2026-07-05,C,37,d1_no,no,36,36.111111111111114,36.111111111111114,0.0,97.0,97.0,2026-07-05T09:00:00Z,18,33.1,-2.8999999999999986,2026-07-05T16:00,1.15,open_meteo_live_gfs,0.966,0.96,0.006,21.71,3043.28,0.67,3.400000000000003,0x895c6e21b89580088c4e365016079b18bf5f604d6ec022bb874669f40ebc68d3,2778846,0.04,0.034,0.966,0.96,Will the highest temperature in Chongqing be 37°C on July 5?,0.0,True,1.0,0.00164,0.96764,0.032360000000000055,0.03344218924393375,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,busted_lt_minus1,at_high,17,d1_no_late_confirmed
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260705_1850.json,2026-07-05T10:50:47Z,2026-07-05 18:50:47,2026-07-05 13:50:47,18,50,Istanbul,t1_trading,2026-07-05,C,28,d1_no,no,27,27.22222222222222,26.11111111111111,1.1111111111111107,81.0,79.0,2026-07-05T10:20:00Z,27,27.2,0.1999999999999993,2026-07-05T12:00,1.83,open_meteo_live_gfs,0.952,0.907,0.045,13.1,2792.87,86.3,4.800000000000004,0x93bc5136c9e22edd3fb9b1673ce2a22350d9fdbf3810e5666ceb2d1a2b8f43c5,2778911,0.093,0.048,0.952,0.907,Will the highest temperature in Istanbul be 28°C on July 5?,0.0,True,1.0,0.00228,0.9542799999999999,0.045720000000000094,0.0479104665297398,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,room_0_1,decline,18,d1_no_late_confirmed
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1710.json,2026-07-06T09:10:02Z,2026-07-06 17:10:02,2026-07-06 17:10:02,17,10,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T09:00:00Z,18,37.8,0.7999999999999972,2026-07-06T16:00,1.17,open_meteo_live_ecmwf,0.989,0.971,0.018,15.0,454.47,151.58,1.100000000000001,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.029,0.011,0.989,0.971,Will the highest temperature in Chengdu be 38°C on July 6?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,room_0_1,at_high,17,d1_no_late_confirmed
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1710.json,2026-07-06T09:10:02Z,2026-07-06 17:10:02,2026-07-06 17:10:02,17,10,Chongqing,t2_research,2026-07-06,C,38,d1_no,no,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T09:00:00Z,18,33.4,-3.6000000000000014,2026-07-06T16:00,1.17,open_meteo_live_ecmwf,0.989,0.949,0.04,15.0,1026.53,64.67,1.100000000000001,0x5ce95ba63e6edb5f81990459b34660618adb666714ce5768810aa5509b296d40,2791372,0.051,0.011,0.989,0.949,Will the highest temperature in Chongqing be 38°C on July 6?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,busted_lt_minus1,at_high,17,d1_no_late_confirmed
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1719.json,2026-06-30T09:19:27Z,2026-06-30 17:19:27,2026-06-30 14:49:27,17,19,Lucknow,t1_trading,2026-06-30,C,33,d1_no,no,32,32.22222222222222,30.0,2.2222222222222214,90.0,86.0,2026-06-30T09:00:00Z,30,35.2,3.200000000000003,2026-06-30T14:00,0.82,open_meteo_live_ecmwf,0.958,0.931,0.027,140.8,895.44,349.0,4.200000000000004,0xfee09764332e4ef30ce1e5b95747e8c05be0b0c6c2acb19c144528738c7280bc,2716933,0.069,0.042,0.958,0.931,Will the highest temperature in Lucknow be 33°C on June 30?,0.0,True,1.0,0.00201,0.9600099999999999,0.03999000000000008,0.0416558160852492,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,room_gt2,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1719.json,2026-06-30T09:19:27Z,2026-06-30 17:19:27,2026-06-30 17:19:27,17,19,Manila,t1_trading,2026-06-30,C,30,d1_no,no,29,28.88888888888889,28.88888888888889,0.0,84.0,84.0,2026-06-30T09:00:00Z,20,29.1,0.10000000000000142,2026-06-30T10:00,7.32,open_meteo_live_gfs,0.986,0.96,0.026,213.26,977.95,87.81,1.4000000000000012,0x5e8fafb82669efdf4cf0b6ba3562c10d32b929f013e816744ca02fb5f389091d,2715382,0.04,0.014,0.986,0.96,Will the highest temperature in Manila be 30°C on June 30?,0.0,True,1.0,0.00069,0.98669,0.013310000000000044,0.013489545855334547,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_0_1,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1756.json,2026-06-30T09:56:13Z,2026-06-30 17:56:13,2026-06-30 14:56:13,17,56,Karachi,t1_trading,2026-06-30,C,35,d1_no,no,34,33.888888888888886,33.888888888888886,0.0,93.0,93.0,2026-06-30T09:30:00Z,30,33.7,-0.29999999999999716,2026-06-30T14:00,0.93,open_meteo_live_ecmwf,0.97,0.951,0.019,1.05,316.21,65.0,3.0000000000000027,0x2a6c9eb2f589e1147e8ad9ef52982983626e0fa3d4bd77b8a1d6dcd280fa4eb0,2717067,0.049,0.03,0.97,0.951,Will the highest temperature in Karachi be 35°C on June 30?,0.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,capped_minus1_0,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1839.json,2026-06-30T10:39:09Z,2026-06-30 18:39:09,2026-06-30 18:39:09,18,39,Singapore,t1_trading,2026-06-30,C,29,d1_no,no,28,27.77777777777778,27.77777777777778,0.0,82.0,82.0,2026-06-30T10:30:00Z,39,30.4,2.3999999999999986,2026-06-30T15:00,3.65,open_meteo_live_gfs,0.976,0.974,0.002,11.53,4462.79,211.63,2.400000000000002,0x61256d90f7021ac9adeff790051e5f2611a8ef526bb2be662462f11ac82bbdc1,2715261,0.026,0.024,0.976,0.974,Will the highest temperature in Singapore be 29°C on June 30?,0.0,True,1.0,0.00117,0.97717,0.022830000000000017,0.023363386104771962,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_gt2,at_high,18,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 14:18:21,17,18,Karachi,t1_trading,2026-07-01,C,34,d1_no,no,33,32.77777777777778,32.22222222222222,0.5555555555555571,91.0,90.0,2026-07-01T09:00:00Z,29,33.7,0.7000000000000028,2026-07-01T12:00,2.3,open_meteo_live_ecmwf,0.98,0.972,0.008,64.0,427.01,151.5,2.0000000000000018,0x0580c5211631c37cc92eb295026add178e47be94638d9c22efb87cfe09028df3,2726978,0.028,0.02,0.98,0.972,Will the highest temperature in Karachi be 34°C on July 1?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_0_1,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 14:48:21,17,18,Lucknow,t1_trading,2026-07-01,C,34+,d1_no,no,33,32.77777777777778,30.0,2.7777777777777786,91.0,86.0,2026-07-01T09:00:00Z,30,32.3,-0.7000000000000028,2026-07-01T14:00,0.8,open_meteo_live_ecmwf,0.98,0.97,0.01,70.97,1110.47,195.07,2.0000000000000018,0x73b77e55a2f9a45a1eff893c185b468b72a2051607bc24c96e7935a139020639,2726958,0.03,0.02,0.98,0.97,Will the highest temperature in Lucknow be 34°C or higher on July 1?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 11:18:21,17,18,Munich,t1_trading,2026-07-01,C,23,d1_no,no,22,22.22222222222222,16.11111111111111,6.111111111111111,72.0,61.0,2026-07-01T08:50:00Z,22,20.7,-1.3000000000000007,2026-07-01T00:00,11.3,open_meteo_live_ecmwf,0.989,0.962,0.027,29.77,1326.07,45.5,1.100000000000001,0x65ee0ccd391ecfce117244b9e366b100c3e54f8f628c6b522f488157532f9142,2725841,0.038,0.011,0.989,0.962,Will the highest temperature in Munich be 23°C on July 1?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,busted_lt_minus1,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 17:18:21,17,18,Shanghai,t1_trading,2026-07-01,C,27,d1_no,no,26,26.11111111111111,26.11111111111111,0.0,79.0,79.0,2026-07-01T09:00:00Z,37,25.6,-0.3999999999999986,2026-07-01T16:00,1.3,open_meteo_live_gfs,0.99,0.959,0.031,60.0,1406.86,127.5,1.0000000000000009,0xd5d0bbb73ed9533e4530bbd8934fe648e07e09e61c801447935c7033a8b1bad9,2725886,0.041,0.01,0.99,0.959,Will the highest temperature in Shanghai be 27°C on July 1?,0.0,True,1.0,0.0005,0.9904999999999999,0.009500000000000064,0.009591115598182801,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 17:18:21,17,18,Wuhan,t2_research,2026-07-01,C,32,d1_no,no,31,31.11111111111111,31.11111111111111,0.0,88.0,88.0,2026-07-01T09:00:00Z,18,30.4,-0.6000000000000014,2026-07-01T16:00,1.3,open_meteo_live_ecmwf,0.951,0.937,0.014,52.43,1245.83,197.94,4.900000000000004,0x3cbb1d66fc5a8d0a044319ac29160e9c0246b9fb784062ad4a4bd3ea683322c9,2725976,0.063,0.049,0.951,0.937,Will the highest temperature in Wuhan be 32°C on July 1?,0.0,True,1.0,0.00233,0.95333,0.04666999999999999,0.04895471662488329,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,capped_minus1_0,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1709.json,2026-07-04T09:09:16Z,2026-07-04 17:09:16,2026-07-04 12:09:16,17,9,Istanbul,t1_trading,2026-07-04,C,27,d1_no,no,26,26.11111111111111,22.77777777777778,3.333333333333332,79.0,73.0,2026-07-04T08:50:00Z,24,25.3,-0.6999999999999993,2026-07-04T11:00,1.15,open_meteo_live_gfs,0.988,0.956,0.032,339.75,2051.81,134.21,1.200000000000001,0x48c8efe5a4856eb56610d29f86044e907eb7a7f8f6637a98cf3f03e454977151,2765884,0.044,0.012,0.988,0.956,Will the highest temperature in Istanbul be 27°C on July 4?,0.0,True,1.0,0.00059,0.98859,0.011410000000000031,0.011541690690781852,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1726.json,2026-07-04T09:26:13Z,2026-07-04 17:26:13,2026-07-04 12:26:13,17,26,Moscow,t1_trading,2026-07-04,C,23,d1_no,no,22,22.22222222222222,17.77777777777778,4.444444444444443,72.0,64.0,2026-07-04T09:27:00Z,39,20.4,-1.6000000000000014,2026-07-04T10:00,2.43,open_meteo_live_gfs,0.97,0.94,0.03,88.47,609.71,20.69,3.0000000000000027,0x0c944f204b95b0749a17d5c88660d646a77e26a4e4726c44d963228f597cb171,2765871,0.06,0.03,0.97,0.94,Will the highest temperature in Moscow be 23°C on July 4?,0.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,busted_lt_minus1,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1759.json,2026-07-04T09:59:52Z,2026-07-04 17:59:52,2026-07-04 12:59:52,17,59,Jeddah,t1_trading,2026-07-04,C,37,d1_no,no,36,36.111111111111114,35.0,1.1111111111111143,97.0,95.0,2026-07-04T10:00:00Z,14,38.2,2.200000000000003,2026-07-04T12:00,0.98,open_meteo_live_gfs,0.96,0.9,0.06,8.0,386.04,37.87,4.0000000000000036,0xb32b476bd93423b8f5a8f92aca7fd8360a20bd319ae5f0e1e015ccacf394f98b,2765917,0.1,0.04,0.96,0.9,Will the highest temperature in Jeddah be 37°C on July 4?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,room_gt2,decline,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1816.json,2026-07-04T10:16:58Z,2026-07-04 18:16:58,2026-07-04 15:16:58,18,16,Karachi,t1_trading,2026-07-04,C,35,d1_no,no,34,33.888888888888886,33.888888888888886,0.0,93.0,93.0,2026-07-04T10:00:00Z,31,33.1,-0.8999999999999986,2026-07-04T14:00,1.27,open_meteo_live_gfs,0.96,0.92,0.04,14.0,439.28,8.25,4.0000000000000036,0x885ccd470841b15c72dbae88e5f7946393013030e6172982a1c761b35826d67a,2765937,0.08,0.04,0.96,0.92,Will the highest temperature in Karachi be 35°C on July 4?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,capped_minus1_0,at_high,18,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1816.json,2026-07-04T10:16:58Z,2026-07-04 18:16:58,2026-07-04 15:46:58,18,16,Lucknow,t1_trading,2026-07-04,C,37,d1_no,no,36,36.111111111111114,35.0,1.1111111111111143,97.0,95.0,2026-07-04T10:00:00Z,32,40.8,4.799999999999997,2026-07-04T15:00,0.77,open_meteo_live_gfs,0.96,0.93,0.03,43.66,588.08,100.37,4.0000000000000036,0xc420cc3fc833543fe374b1a54d31e73720eebf3d5a9041cccafde9b7c22a8943,2765804,0.07,0.04,0.96,0.93,Will the highest temperature in Lucknow be 37°C on July 4?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,room_gt2,decline,18,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260705_1709.json,2026-07-05T09:09:37Z,2026-07-05 17:09:37,2026-07-05 17:09:37,17,9,Chengdu,t1_trading,2026-07-05,C,38,d1_no,no,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-05T09:00:00Z,18,33.7,-3.299999999999997,2026-07-05T14:00,3.15,open_meteo_live_gfs,0.96,0.9,0.06,5.0,2791.23,99.67,4.0000000000000036,0xc9ec734da08a087bb9a8d37b1c8f6b52e154b0ba05b33142d7154fb1ac6ce730,2778882,0.1,0.04,0.96,0.9,Will the highest temperature in Chengdu be 38°C on July 5?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,busted_lt_minus1,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260705_1709.json,2026-07-05T09:09:37Z,2026-07-05 17:09:37,2026-07-05 17:09:37,17,9,Chongqing,t2_research,2026-07-05,C,37,d1_no,no,36,36.111111111111114,36.111111111111114,0.0,97.0,97.0,2026-07-05T09:00:00Z,18,33.1,-2.8999999999999986,2026-07-05T16:00,1.15,open_meteo_live_gfs,0.966,0.96,0.006,21.71,3043.28,0.67,3.400000000000003,0x895c6e21b89580088c4e365016079b18bf5f604d6ec022bb874669f40ebc68d3,2778846,0.04,0.034,0.966,0.96,Will the highest temperature in Chongqing be 37°C on July 5?,0.0,True,1.0,0.00164,0.96764,0.032360000000000055,0.03344218924393375,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_0_5_1_5h,busted_lt_minus1,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260705_1850.json,2026-07-05T10:50:47Z,2026-07-05 18:50:47,2026-07-05 13:50:47,18,50,Istanbul,t1_trading,2026-07-05,C,28,d1_no,no,27,27.22222222222222,26.11111111111111,1.1111111111111107,81.0,79.0,2026-07-05T10:20:00Z,27,27.2,0.1999999999999993,2026-07-05T12:00,1.83,open_meteo_live_gfs,0.952,0.907,0.045,13.1,2792.87,86.3,4.800000000000004,0x93bc5136c9e22edd3fb9b1673ce2a22350d9fdbf3810e5666ceb2d1a2b8f43c5,2778911,0.093,0.048,0.952,0.907,Will the highest temperature in Istanbul be 28°C on July 5?,0.0,True,1.0,0.00228,0.9542799999999999,0.045720000000000094,0.0479104665297398,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,room_0_1,decline,18,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1710.json,2026-07-06T09:10:02Z,2026-07-06 17:10:02,2026-07-06 17:10:02,17,10,Chengdu,t1_trading,2026-07-06,C,38,d1_no,no,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T09:00:00Z,18,37.8,0.7999999999999972,2026-07-06T16:00,1.17,open_meteo_live_ecmwf,0.989,0.971,0.018,15.0,454.47,151.58,1.100000000000001,0xb6498196415162ef277a1b4d1ef4acdb85408cd064222c4cce14ac4cbfb03858,2791405,0.029,0.011,0.989,0.971,Will the highest temperature in Chengdu be 38°C on July 6?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,room_0_1,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260706_1710.json,2026-07-06T09:10:02Z,2026-07-06 17:10:02,2026-07-06 17:10:02,17,10,Chongqing,t2_research,2026-07-06,C,38,d1_no,no,37,37.22222222222222,37.22222222222222,0.0,99.0,99.0,2026-07-06T09:00:00Z,18,33.4,-3.6000000000000014,2026-07-06T16:00,1.17,open_meteo_live_ecmwf,0.989,0.949,0.04,15.0,1026.53,64.67,1.100000000000001,0x5ce95ba63e6edb5f81990459b34660618adb666714ce5768810aa5509b296d40,2791372,0.051,0.011,0.989,0.949,Will the highest temperature in Chongqing be 38°C on July 6?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,busted_lt_minus1,at_high,17,d1_no_late_confirmed_any_gap
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1719.json,2026-06-30T09:19:27Z,2026-06-30 17:19:27,2026-06-30 17:19:27,17,19,Manila,t1_trading,2026-06-30,C,29,current_yes,yes,29,28.88888888888889,28.88888888888889,0.0,84.0,84.0,2026-06-30T09:00:00Z,20,29.1,0.10000000000000142,2026-06-30T10:00,7.32,open_meteo_live_gfs,0.987,0.96,0.027,120.0,1048.72,25.4,1.3000000000000012,0x307c565850d655be4d1907b54e8c32c0d1e0a61309f93151520079024ea413a6,2715381,0.987,0.96,0.04,0.013,Will the highest temperature in Manila be 29°C on June 30?,1.0,True,1.0,0.00064,0.98764,0.012360000000000038,0.01251468146288125,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_0_1,at_high,17,current_yes_late_survival
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1756.json,2026-06-30T09:56:13Z,2026-06-30 17:56:13,2026-06-30 14:56:13,17,56,Karachi,t1_trading,2026-06-30,C,34,current_yes,yes,34,33.888888888888886,33.888888888888886,0.0,93.0,93.0,2026-06-30T09:30:00Z,30,33.7,-0.29999999999999716,2026-06-30T14:00,0.93,open_meteo_live_ecmwf,0.979,0.943,0.036,10.28,939.68,15.78,2.100000000000002,0xd12089009c0ca10122e1e72ca0af5cfacdf6640dd3297f3d147ee2ff6d3c6b31,2717066,0.979,0.943,0.057,0.021,Will the highest temperature in Karachi be 34°C on June 30?,1.0,True,1.0,0.00103,0.98003,0.019970000000000043,0.020376927236921364,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,at_high,17,current_yes_late_survival
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 14:18:21,17,18,Karachi,t1_trading,2026-07-01,C,33,current_yes,yes,33,32.77777777777778,32.22222222222222,0.5555555555555571,91.0,90.0,2026-07-01T09:00:00Z,29,33.7,0.7000000000000028,2026-07-01T12:00,2.3,open_meteo_live_ecmwf,0.98,0.973,0.007,136.56,1099.69,121.74,2.0000000000000018,0x28b91a92dabca43ed41f302fd780b691b1a499aa877e358b7e760cc76b8ca220,2726977,0.98,0.973,0.027,0.02,Will the highest temperature in Karachi be 33°C on July 1?,1.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_0_1,decline,17,current_yes_late_survival
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 14:48:21,17,18,Lucknow,t1_trading,2026-07-01,C,33,current_yes,yes,33,32.77777777777778,30.0,2.7777777777777786,91.0,86.0,2026-07-01T09:00:00Z,30,32.3,-0.7000000000000028,2026-07-01T14:00,0.8,open_meteo_live_ecmwf,0.98,0.972,0.008,192.52,927.88,267.49,2.0000000000000018,0x6a16ca6cc2ab20f9b61f3313d274dd7d4655a71e1447487a87a0c33e62c9f4ac,2726957,0.98,0.972,0.028,0.02,Will the highest temperature in Lucknow be 33°C on July 1?,1.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,decline,17,current_yes_late_survival
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 11:18:21,17,18,Munich,t1_trading,2026-07-01,C,22,current_yes,yes,22,22.22222222222222,16.11111111111111,6.111111111111111,72.0,61.0,2026-07-01T08:50:00Z,22,20.7,-1.3000000000000007,2026-07-01T00:00,11.3,open_meteo_live_ecmwf,0.98,0.972,0.008,73.14,4555.95,322.45,2.0000000000000018,0x68e34f62006bfdb0e9932f39a45a968f3260fe8b9d45817ea9fdbc45565981d7,2725840,0.98,0.972,0.028,0.02,Will the highest temperature in Munich be 22°C on July 1?,1.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,busted_lt_minus1,decline,17,current_yes_late_survival
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260701_1718.json,2026-07-01T09:18:21Z,2026-07-01 17:18:21,2026-07-01 17:18:21,17,18,Shanghai,t1_trading,2026-07-01,C,26,current_yes,yes,26,26.11111111111111,26.11111111111111,0.0,79.0,79.0,2026-07-01T09:00:00Z,37,25.6,-0.3999999999999986,2026-07-01T16:00,1.3,open_meteo_live_gfs,0.987,0.948,0.039,108.1,3505.28,291.53,1.3000000000000012,0x52180ef41fe8ceae20a7e07a329c47f8d7301e52da2b2254c4380de085953d93,2725885,0.987,0.948,0.052,0.013,Will the highest temperature in Shanghai be 26°C on July 1?,1.0,True,1.0,0.00064,0.98764,0.012360000000000038,0.01251468146288125,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,at_high,17,current_yes_late_survival
