changed_since_last,city,current_bracket,current_native,current_temp_c,current_yes_ask,current_yes_indicative,current_yes_quote_delay_min,current_yes_quote_source,current_yes_quote_ts_utc,current_yes_snapshot_raw_ask,d1_bracket,d1_no_ask,d1_no_indicative,d1_no_quote_delay_min,d1_no_quote_source,d1_no_quote_ts_utc,d1_no_snapshot_raw_ask,decision_hour_local_at_detect,decision_snapshot_ts_utc,decline_gate,decline_native,detected_after_report_sec,effective_cost_per_share,entry_ask,estimated_cadence_min,expression,fee_per_share,forecast_max_native,forecast_peak_delta_hours_local,in_research_window,live_observation_source,local_detect_ts_utc,mapping_rule,mature_high_gate,minutes_since_running_max_at_detect,path_not_warming_gate,payload_hash,physical_confirmation_base,physical_confirmation_strong_partial,physical_support_count_partial,physical_support_reasons_partial,pnl_per_share,prebase_without_forecast_clock,precip_state,price_source,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,snapshot_path,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state,win
True,Wellington,13,12.0,12.0,,0.95,,missing_within_30m,,,14,,0.9495,,missing_within_30m,,,14.610277777777778,2026-07-07T02:37:50Z,True,1.0,397.227,0.95238,0.95,30.0,current_yes,0.00238,13.0,2.62,True,aviationweather_metar,2026-07-07T02:36:37.226874+00:00,whole-degree WU station max,True,66.6204479,True,9a4a78a071fb1db1,True,True,4,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",0.047619999999999996,True,rain_or_drizzle,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR NZWN 070230Z AUTO 16018KT 6000 -RA SCT033/// BKN040/// OVC070/// 12/11 Q1005,d576c5912cf05399,30,same_station_source_profile,93.60237175676417,METAR,13.0,13.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1037.json,aviationweather_metar,397.227,2026-07-07T02:36:37.226874Z,2026-07-07T02:36:37.226874+00:00,1.017,2026-07-07T02:36:36.209445+00:00,routine_metar_only,2026-07-07T02:30:00Z,NZWN,ok,2026-07-07,12.0,-1.8,2026-07-07T02:36:37.226874+00:00,C,cooling,1.0
True,Wellington,13,12.0,12.0,,0.95,,missing_within_30m,,,14,,0.9495,,missing_within_30m,,,14.610277777777778,2026-07-07T02:37:50Z,True,1.0,397.227,0.9519,0.9495,30.0,d1_no,0.0024,13.0,2.62,True,aviationweather_metar,2026-07-07T02:36:37.226874+00:00,whole-degree WU station max,True,66.6204479,True,9a4a78a071fb1db1,True,True,4,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",0.04810000000000003,True,rain_or_drizzle,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR NZWN 070230Z AUTO 16018KT 6000 -RA SCT033/// BKN040/// OVC070/// 12/11 Q1005,d576c5912cf05399,30,same_station_source_profile,93.60237175676417,METAR,13.0,13.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1037.json,aviationweather_metar,397.227,2026-07-07T02:36:37.226874Z,2026-07-07T02:36:37.226874+00:00,1.017,2026-07-07T02:36:36.209445+00:00,routine_metar_only,2026-07-07T02:30:00Z,NZWN,ok,2026-07-07,12.0,-1.8,2026-07-07T02:36:37.226874+00:00,C,cooling,1.0
True,Taipei,35,33.0,33.0,,0.9625,,missing_within_30m,,,36,,0.96,,missing_within_30m,,,13.15611111111111,2026-07-07T05:19:06Z,True,2.0,562.471,0.9643,0.9625,30.0,current_yes,0.0018,34.1,2.32,True,aviationweather_metar,2026-07-07T05:09:22.471417+00:00,whole-degree WU station max,True,69.37452361666666,True,d7e42c415c6495f2,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.035699999999999954,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR RCSS 070500Z 09007KT 040V120 9999 FEW020 SCT035 BKN220 33/27 Q1008 NOSIG RMK A2978,4eb8b5894ad5ea2f,21,same_station_source_profile,70.83672096419856,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1319.json,aviationweather_metar,562.471,2026-07-07T05:09:22.471417Z,2026-07-07T05:09:22.471417+00:00,0.957,2026-07-07T05:09:21.514729+00:00,metar_speci_capable,2026-07-07T05:00:00Z,RCSS,ok,2026-07-07,33.0,-3.6,2026-07-07T05:09:22.471417+00:00,C,cooling,1.0
True,Taipei,35,33.0,33.0,,0.9625,,missing_within_30m,,,36,,0.96,,missing_within_30m,,,13.15611111111111,2026-07-07T05:19:06Z,True,2.0,562.471,0.96192,0.96,30.0,d1_no,0.00192,34.1,2.32,True,aviationweather_metar,2026-07-07T05:09:22.471417+00:00,whole-degree WU station max,True,69.37452361666666,True,d7e42c415c6495f2,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.03808,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR RCSS 070500Z 09007KT 040V120 9999 FEW020 SCT035 BKN220 33/27 Q1008 NOSIG RMK A2978,4eb8b5894ad5ea2f,21,same_station_source_profile,70.83672096419856,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1319.json,aviationweather_metar,562.471,2026-07-07T05:09:22.471417Z,2026-07-07T05:09:22.471417+00:00,0.957,2026-07-07T05:09:21.514729+00:00,metar_speci_capable,2026-07-07T05:00:00Z,RCSS,ok,2026-07-07,33.0,-3.6,2026-07-07T05:09:22.471417+00:00,C,cooling,1.0
True,Guangzhou,30,29.0,29.0,,0.675,,missing_within_30m,,,31,,0.8200000000000001,,missing_within_30m,,,13.15611111111111,2026-07-07T05:19:06Z,True,1.0,562.529,0.6859700000000001,0.675,30.0,current_yes,0.01097,26.1,13.32,True,aviationweather_metar,2026-07-07T05:09:22.529412+00:00,whole-degree WU station max,True,99.3754902,True,18e0745f7b9db383,True,True,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",-0.6859700000000001,True,rain_or_drizzle,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR ZGGG 070500Z 14006MPS 9999 FEW016 OVC040 29/25 Q1007 BECMG AT0540 SHRA FEW026CB BKN033,500861494fc3f625,27,same_station_source_profile,79.0585121873896,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1319.json,aviationweather_metar,562.529,2026-07-07T05:09:22.529412Z,2026-07-07T05:09:22.529412+00:00,2.194,2026-07-07T05:09:20.335752+00:00,metar_speci_capable,2026-07-07T05:00:00Z,ZGGG,ok,2026-07-07,29.0,0.0,2026-07-07T05:09:22.529412+00:00,C,flat,0.0
True,Guangzhou,30,29.0,29.0,,0.675,,missing_within_30m,,,31,,0.8200000000000001,,missing_within_30m,,,13.15611111111111,2026-07-07T05:19:06Z,True,1.0,562.529,0.8273800000000001,0.8200000000000001,30.0,d1_no,0.00738,26.1,13.32,True,aviationweather_metar,2026-07-07T05:09:22.529412+00:00,whole-degree WU station max,True,99.3754902,True,18e0745f7b9db383,True,True,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",-0.8273800000000001,True,rain_or_drizzle,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR ZGGG 070500Z 14006MPS 9999 FEW016 OVC040 29/25 Q1007 BECMG AT0540 SHRA FEW026CB BKN033,500861494fc3f625,27,same_station_source_profile,79.0585121873896,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1319.json,aviationweather_metar,562.529,2026-07-07T05:09:22.529412Z,2026-07-07T05:09:22.529412+00:00,2.194,2026-07-07T05:09:20.335752+00:00,metar_speci_capable,2026-07-07T05:00:00Z,ZGGG,ok,2026-07-07,29.0,0.0,2026-07-07T05:09:22.529412+00:00,C,flat,0.0
True,Busan,29,28.0,28.0,0.949,0.9375,0.8,orderbook_archive_first_after_signal,2026-07-07T07:18:04Z,0.949,30,0.98,0.945,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-07T07:18:05Z,0.98,16.125555555555557,2026-07-07T07:17:16Z,True,1.0,452.949,0.94043,0.9375,48.0,current_yes,0.00293,30.2,2.28,True,aviationweather_metar,2026-07-07T07:07:32.949337+00:00,whole-degree WU station max,True,67.54915561666667,True,50dfe946e8893e83,True,True,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",0.05957000000000001,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR RKPK 070700Z 19010KT 9999 FEW005 SCT020 BKN030 28/25 Q1008,f1b36697f95b749e,24,same_station_source_profile,83.78747242805218,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1517.json,aviationweather_metar,452.949,2026-07-07T07:07:32.949337Z,2026-07-07T07:07:32.949337+00:00,1.007,2026-07-07T07:07:31.941905+00:00,metar_speci_capable,2026-07-07T07:00:00Z,RKPK,ok,2026-07-07,28.0,-1.8,2026-07-07T07:07:32.949337+00:00,C,cooling,1.0
True,Busan,29,28.0,28.0,0.949,0.9375,0.8,orderbook_archive_first_after_signal,2026-07-07T07:18:04Z,0.949,30,0.98,0.945,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-07T07:18:05Z,0.98,16.125555555555557,2026-07-07T07:17:16Z,True,1.0,452.949,0.9476,0.945,48.0,d1_no,0.0026,30.2,2.28,True,aviationweather_metar,2026-07-07T07:07:32.949337+00:00,whole-degree WU station max,True,67.54915561666667,True,50dfe946e8893e83,True,True,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",0.0524,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR RKPK 070700Z 19010KT 9999 FEW005 SCT020 BKN030 28/25 Q1008,f1b36697f95b749e,24,same_station_source_profile,83.78747242805218,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1517.json,aviationweather_metar,452.949,2026-07-07T07:07:32.949337Z,2026-07-07T07:07:32.949337+00:00,1.007,2026-07-07T07:07:31.941905+00:00,metar_speci_capable,2026-07-07T07:00:00Z,RKPK,ok,2026-07-07,28.0,-1.8,2026-07-07T07:07:32.949337+00:00,C,cooling,1.0
True,Lucknow,34,33.0,33.0,,0.9785,,missing_within_30m,,,35,,0.979,,missing_within_30m,,,14.595,2026-07-07T09:11:41Z,True,1.0,342.839,0.97955,0.9785,30.0,current_yes,0.00105,32.6,3.68,True,aviationweather_metar,2026-07-07T09:05:42.838638+00:00,whole-degree WU station max,True,65.7139773,True,f260c2c1879984ae,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.020449999999999968,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR VILK 070900Z 09008G18KT 5000 HZ SCT020 FEW030CB OVC090 33/25 Q0995 NOSIG,d86ca266afa5824f,30,same_station_source_profile,62.92958329531055,METAR,34.0,34.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1711.json,aviationweather_metar,342.839,2026-07-07T09:05:42.838638Z,2026-07-07T09:05:42.838638+00:00,1.964,2026-07-07T09:05:40.875110+00:00,routine_metar_only,2026-07-07T09:00:00Z,VILK,ok,2026-07-07,33.0,-1.8,2026-07-07T09:05:42.838638+00:00,C,cooling,1.0
True,Lucknow,34,33.0,33.0,,0.9785,,missing_within_30m,,,35,,0.979,,missing_within_30m,,,14.595,2026-07-07T09:11:41Z,True,1.0,342.839,0.98003,0.979,30.0,d1_no,0.00103,32.6,3.68,True,aviationweather_metar,2026-07-07T09:05:42.838638+00:00,whole-degree WU station max,True,65.7139773,True,f260c2c1879984ae,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.019970000000000043,True,none_observed,indicative_market_price_not_executable,weather_data_feed_service.source_events,METAR VILK 070900Z 09008G18KT 5000 HZ SCT020 FEW030CB OVC090 33/25 Q0995 NOSIG,d86ca266afa5824f,30,same_station_source_profile,62.92958329531055,METAR,34.0,34.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1711.json,aviationweather_metar,342.839,2026-07-07T09:05:42.838638Z,2026-07-07T09:05:42.838638+00:00,1.964,2026-07-07T09:05:40.875110+00:00,routine_metar_only,2026-07-07T09:00:00Z,VILK,ok,2026-07-07,33.0,-1.8,2026-07-07T09:05:42.838638+00:00,C,cooling,1.0
