changed_since_last,city,current_bracket,current_native,current_temp_c,current_yes_ask,current_yes_indicative,current_yes_quote_delay_min,current_yes_quote_source,current_yes_quote_ts_utc,current_yes_snapshot_book_status,current_yes_snapshot_raw_ask,current_yes_token_id,d1_bracket,d1_no_ask,d1_no_indicative,d1_no_quote_delay_min,d1_no_quote_source,d1_no_quote_ts_utc,d1_no_snapshot_book_status,d1_no_snapshot_raw_ask,d1_no_token_id,decision_hour_local_at_detect,decision_snapshot_ts_utc,decline_gate,decline_native,detected_after_report_sec,effective_cost_per_share,entry_ask,estimated_cadence_min,expression,fee_per_share,forecast_max_native,forecast_peak_delta_hours_local,in_research_window,live_observation_source,local_detect_ts_utc,mapping_rule,mature_high_gate,minutes_since_running_max_at_detect,path_not_warming_gate,payload_hash,physical_confirmation_base,physical_confirmation_strong_partial,physical_support_count_partial,physical_support_reasons_partial,pnl_per_share,prebase_without_forecast_clock,precip_state,price_source,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,snapshot_path,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state,win
True,Busan,29,28.0,28.0,0.989,0.9795,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-08T07:12:50Z,ok,0.989,33276975339163811526363036021261070922385659207990448700577827153846029684919,30,0.99,0.9855,0.8333333333333334,orderbook_archive_first_after_signal,2026-07-08T07:12:51Z,ok,0.99,65661226120611919173689101297757444350728695334824818344280510935807085460966,16.078333333333333,2026-07-08T07:12:01Z,True,1.0,282.633,0.98954,0.989,60.0,current_yes,0.00054,28.8,1.2,True,aviationweather_metar,2026-07-08T07:04:42.632767+00:00,whole-degree WU station max,True,244.71054611666665,True,4a886f6d6f1cc839,True,True,2,"['cloud_limited_flat_or_cooling', 'onshore_marine_cooling']",0.010460000000000025,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 080700Z 20011KT 9999 SCT015 BKN024 BKN250 28/24 Q1009,93ebd7af17fa7afa,19,same_station_source_profile,78.9202680701639,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260708_1512.json,aviationweather_metar,282.633,2026-07-08T07:04:42.632767Z,2026-07-08T07:04:42.632767+00:00,1.257,2026-07-08T07:04:41.375768+00:00,metar_speci_capable,2026-07-08T07:00:00Z,RKPK,ok,2026-07-08,28.0,0.0,2026-07-08T07:04:42.632767+00:00,C,flat,1.0
True,Busan,29,28.0,28.0,0.989,0.9795,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-08T07:12:50Z,ok,0.989,33276975339163811526363036021261070922385659207990448700577827153846029684919,30,0.99,0.9855,0.8333333333333334,orderbook_archive_first_after_signal,2026-07-08T07:12:51Z,ok,0.99,65661226120611919173689101297757444350728695334824818344280510935807085460966,16.078333333333333,2026-07-08T07:12:01Z,True,1.0,282.633,0.9904999999999999,0.99,60.0,d1_no,0.0005,28.8,1.2,True,aviationweather_metar,2026-07-08T07:04:42.632767+00:00,whole-degree WU station max,True,244.71054611666665,True,4a886f6d6f1cc839,True,True,2,"['cloud_limited_flat_or_cooling', 'onshore_marine_cooling']",0.009500000000000064,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 080700Z 20011KT 9999 SCT015 BKN024 BKN250 28/24 Q1009,93ebd7af17fa7afa,19,same_station_source_profile,78.9202680701639,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260708_1512.json,aviationweather_metar,282.633,2026-07-08T07:04:42.632767Z,2026-07-08T07:04:42.632767+00:00,1.257,2026-07-08T07:04:41.375768+00:00,metar_speci_capable,2026-07-08T07:00:00Z,RKPK,ok,2026-07-08,28.0,0.0,2026-07-08T07:04:42.632767+00:00,C,flat,1.0
True,BuenosAires,18,16.0,16.0,0.999,0.9955,0.65,orderbook_archive_first_after_signal,2026-07-08T19:19:33Z,ok,0.999,19179980003299297180827318578475874867469351393262821097655186476406650009215,20,0.999,0.9965,0.6666666666666666,orderbook_archive_first_after_signal,2026-07-08T19:19:34Z,ok,0.999,28825507699724160998441624096397465666578494909502503127050686145658924381343,16.15583333333333,2026-07-08T19:18:54Z,True,2.0,561.643,0.99905,0.999,60.0,current_yes,5e-05,16.8,1.3,True,aviationweather_metar,2026-07-08T19:09:21.642541+00:00,whole-degree WU station max,True,69.36070901666668,True,530b9d4d62fd2997,True,False,1,['onshore_marine_cooling'],0.0009500000000000064,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR SAEZ 081900Z 06011KT CAVOK 16/07 Q1013 NOSIG,ba32d6a7269999cb,17,same_station_source_profile,55.144459527044,METAR,18.0,18.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0318.json,aviationweather_metar,561.643,2026-07-08T19:09:21.642541Z,2026-07-08T19:09:21.642541+00:00,1.293,2026-07-08T19:09:20.349384+00:00,routine_metar_only,2026-07-08T19:00:00Z,SAEZ,ok,2026-07-08,16.0,-3.6,2026-07-08T19:09:21.642541+00:00,C,cooling,1.0
True,BuenosAires,18,16.0,16.0,0.999,0.9955,0.65,orderbook_archive_first_after_signal,2026-07-08T19:19:33Z,ok,0.999,19179980003299297180827318578475874867469351393262821097655186476406650009215,20,0.999,0.9965,0.6666666666666666,orderbook_archive_first_after_signal,2026-07-08T19:19:34Z,ok,0.999,28825507699724160998441624096397465666578494909502503127050686145658924381343,16.15583333333333,2026-07-08T19:18:54Z,True,2.0,561.643,0.99905,0.999,60.0,d1_no,5e-05,16.8,1.3,True,aviationweather_metar,2026-07-08T19:09:21.642541+00:00,whole-degree WU station max,True,69.36070901666668,True,530b9d4d62fd2997,True,False,1,['onshore_marine_cooling'],0.0009500000000000064,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR SAEZ 081900Z 06011KT CAVOK 16/07 Q1013 NOSIG,ba32d6a7269999cb,17,same_station_source_profile,55.144459527044,METAR,18.0,18.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_0318.json,aviationweather_metar,561.643,2026-07-08T19:09:21.642541Z,2026-07-08T19:09:21.642541+00:00,1.293,2026-07-08T19:09:20.349384+00:00,routine_metar_only,2026-07-08T19:00:00Z,SAEZ,ok,2026-07-08,16.0,-3.6,2026-07-08T19:09:21.642541+00:00,C,cooling,1.0
True,Busan,30,29.0,29.0,0.97,0.945,0.85,orderbook_archive_first_after_signal,2026-07-09T06:11:02Z,ok,0.97,36970437087142522300906768077926120347442935999805019705295734931510419802663,31,0.97,0.945,0.8666666666666667,orderbook_archive_first_after_signal,2026-07-09T06:11:03Z,ok,0.97,113276852080932193448091687349754692403307611301270843815282130745805859088714,15.085833333333333,2026-07-09T06:10:11Z,True,1.0,309.66,0.97146,0.97,60.0,current_yes,0.00146,29.6,3.17,True,aviationweather_metar,2026-07-09T06:05:09.659724+00:00,whole-degree WU station max,True,65.1609954,True,0d98c7ddbd40397d,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.02854000000000001,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 090600Z 21008KT 9999 SCT030 BKN200 29/24 Q1010,8676c1c002db29b0,16,same_station_source_profile,74.46601257025355,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_1410.json,aviationweather_metar,309.66,2026-07-09T06:05:09.659724Z,2026-07-09T06:05:09.659724+00:00,1.01,2026-07-09T06:05:08.649277+00:00,routine_metar_only,2026-07-09T06:00:00Z,RKPK,ok,2026-07-09,29.0,-1.8,2026-07-09T06:05:09.659724+00:00,C,cooling,1.0
True,Busan,30,29.0,29.0,0.97,0.945,0.85,orderbook_archive_first_after_signal,2026-07-09T06:11:02Z,ok,0.97,36970437087142522300906768077926120347442935999805019705295734931510419802663,31,0.97,0.945,0.8666666666666667,orderbook_archive_first_after_signal,2026-07-09T06:11:03Z,ok,0.97,113276852080932193448091687349754692403307611301270843815282130745805859088714,15.085833333333333,2026-07-09T06:10:11Z,True,1.0,309.66,0.97146,0.97,60.0,d1_no,0.00146,29.6,3.17,True,aviationweather_metar,2026-07-09T06:05:09.659724+00:00,whole-degree WU station max,True,65.1609954,True,0d98c7ddbd40397d,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.02854000000000001,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 090600Z 21008KT 9999 SCT030 BKN200 29/24 Q1010,8676c1c002db29b0,16,same_station_source_profile,74.46601257025355,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_1410.json,aviationweather_metar,309.66,2026-07-09T06:05:09.659724Z,2026-07-09T06:05:09.659724+00:00,1.01,2026-07-09T06:05:08.649277+00:00,routine_metar_only,2026-07-09T06:00:00Z,RKPK,ok,2026-07-09,29.0,-1.8,2026-07-09T06:05:09.659724+00:00,C,cooling,1.0
True,Beijing,35,34.0,34.0,0.998,0.9955,0.4166666666666667,orderbook_archive_first_after_signal,2026-07-09T08:52:16Z,ok,0.998,74178217614406732095357226259131316211258227479245113057766609557130592613909,36,0.998,0.997,0.43333333333333335,orderbook_archive_first_after_signal,2026-07-09T08:52:17Z,ok,0.998,75777986688102581267243789281567334742216371021966653845521529652822076423019,16.705,2026-07-09T08:51:51Z,True,1.0,738.69,0.9981,0.998,30.0,current_yes,0.0001,34.2,2.85,True,aviationweather_metar,2026-07-09T08:42:18.689692+00:00,whole-degree WU station max,True,72.31149486666666,True,45e9d16dbbfae9bb,True,False,0,[],0.0019000000000000128,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR ZBAA 090830Z 15004MPS 120V190 CAVOK 34/23 Q0997 NOSIG,a73064610eb227ef,34,same_station_source_profile,52.76574284376031,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_1651.json,aviationweather_metar,738.69,2026-07-09T08:42:18.689692Z,2026-07-09T08:42:18.689692+00:00,1.008,2026-07-09T08:42:17.682053+00:00,metar_speci_capable,2026-07-09T08:30:00Z,ZBAA,ok,2026-07-09,34.0,-1.8,2026-07-09T08:42:18.689692+00:00,C,cooling,1.0
True,Beijing,35,34.0,34.0,0.998,0.9955,0.4166666666666667,orderbook_archive_first_after_signal,2026-07-09T08:52:16Z,ok,0.998,74178217614406732095357226259131316211258227479245113057766609557130592613909,36,0.998,0.997,0.43333333333333335,orderbook_archive_first_after_signal,2026-07-09T08:52:17Z,ok,0.998,75777986688102581267243789281567334742216371021966653845521529652822076423019,16.705,2026-07-09T08:51:51Z,True,1.0,738.69,0.9981,0.998,30.0,d1_no,0.0001,34.2,2.85,True,aviationweather_metar,2026-07-09T08:42:18.689692+00:00,whole-degree WU station max,True,72.31149486666666,True,45e9d16dbbfae9bb,True,False,0,[],0.0019000000000000128,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR ZBAA 090830Z 15004MPS 120V190 CAVOK 34/23 Q0997 NOSIG,a73064610eb227ef,34,same_station_source_profile,52.76574284376031,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260709_1651.json,aviationweather_metar,738.69,2026-07-09T08:42:18.689692Z,2026-07-09T08:42:18.689692+00:00,1.008,2026-07-09T08:42:17.682053+00:00,metar_speci_capable,2026-07-09T08:30:00Z,ZBAA,ok,2026-07-09,34.0,-1.8,2026-07-09T08:42:18.689692+00:00,C,cooling,1.0
True,Atlanta,94-95,80.96,27.2,0.999,0.9955,0.2,orderbook_archive_first_after_signal,2026-07-09T20:26:36Z,ok,0.999,111024900635092933474532054419650951829357759210524160530387582862194470223189,96-97,0.997,0.995,0.21666666666666667,orderbook_archive_first_after_signal,2026-07-09T20:26:37Z,ok,0.997,96864404549184405079778394863698462007864570481324013359298376538199184466860,16.394166666666667,2026-07-09T20:26:24Z,True,14.040000000000006,219.75,0.99905,0.999,60.0,current_yes,5e-05,91.2,0.43,True,aviationweather_metar,2026-07-09T20:23:39.750323+00:00,whole-degree WU station max,True,91.66250538333334,True,e9a1edb2def2c14a,True,True,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.0009500000000000064,True,thunderstorm,direct_executable_ask,weather_data_feed_service.source_events,SPECI KATL 092020Z 28017G25KT 3SM +TSRA BKN050CB BKN090 BKN200 BKN250 27/22 A3007 RMK AO2 PK WND 22026/2008 RAB16 TSB04 PRESRR VIS N-NE 3/4 FRQ LTGICCG NE-OHD-SW TS NE-OHD-SW MOV NE CB DSNT N-NE SE MOV NE P0007 T02720217 $,02bebc570b038ee5,18,same_station_source_profile,73.27197620568609,SPECI,35.0,95.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_0426.json,aviationweather_metar,219.75,2026-07-09T20:23:39.750323Z,2026-07-09T20:23:39.750323+00:00,1.207,2026-07-09T20:23:38.542894+00:00,metar_speci_capable,2026-07-09T20:20:00Z,KATL,ok,2026-07-09,27.2,-14.040000000000001,2026-07-09T20:23:39.750323+00:00,F,cooling,1.0
True,Atlanta,94-95,80.96,27.2,0.999,0.9955,0.2,orderbook_archive_first_after_signal,2026-07-09T20:26:36Z,ok,0.999,111024900635092933474532054419650951829357759210524160530387582862194470223189,96-97,0.997,0.995,0.21666666666666667,orderbook_archive_first_after_signal,2026-07-09T20:26:37Z,ok,0.997,96864404549184405079778394863698462007864570481324013359298376538199184466860,16.394166666666667,2026-07-09T20:26:24Z,True,14.040000000000006,219.75,0.99715,0.997,60.0,d1_no,0.00015,91.2,0.43,True,aviationweather_metar,2026-07-09T20:23:39.750323+00:00,whole-degree WU station max,True,91.66250538333334,True,e9a1edb2def2c14a,True,True,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.002850000000000019,True,thunderstorm,direct_executable_ask,weather_data_feed_service.source_events,SPECI KATL 092020Z 28017G25KT 3SM +TSRA BKN050CB BKN090 BKN200 BKN250 27/22 A3007 RMK AO2 PK WND 22026/2008 RAB16 TSB04 PRESRR VIS N-NE 3/4 FRQ LTGICCG NE-OHD-SW TS NE-OHD-SW MOV NE CB DSNT N-NE SE MOV NE P0007 T02720217 $,02bebc570b038ee5,18,same_station_source_profile,73.27197620568609,SPECI,35.0,95.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_0426.json,aviationweather_metar,219.75,2026-07-09T20:23:39.750323Z,2026-07-09T20:23:39.750323+00:00,1.207,2026-07-09T20:23:38.542894+00:00,metar_speci_capable,2026-07-09T20:20:00Z,KATL,ok,2026-07-09,27.2,-14.040000000000001,2026-07-09T20:23:39.750323+00:00,F,cooling,1.0
True,Busan,32,31.0,31.0,0.996,0.975,0.6833333333333333,orderbook_archive_first_after_signal,2026-07-10T07:09:18Z,ok,0.996,69071485213024614797794297502570208219069722667185560224552282702095878935548,33,0.995,0.981,0.6833333333333333,orderbook_archive_first_after_signal,2026-07-10T07:09:18Z,ok,0.995,16446615565263155150245074695815659306238288572640291441212396679363334716906,16.114722222222223,2026-07-10T07:08:37Z,True,1.0,413.106,0.9962,0.996,60.0,current_yes,0.0002,31.1,2.13,True,aviationweather_metar,2026-07-10T07:06:53.106352+00:00,whole-degree WU station max,True,66.88510586666666,True,4dd68980a7de268b,True,False,1,['onshore_marine_cooling'],0.0038000000000000256,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 100700Z 19011KT 9999 FEW030 FEW250 31/24 Q1012,70f8d4c5c4d7509c,21,same_station_source_profile,66.3818887938788,METAR,32.0,32.0,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_1508.json,aviationweather_metar,413.106,2026-07-10T07:06:53.106352Z,2026-07-10T07:06:53.106352+00:00,1.111,2026-07-10T07:06:51.995737+00:00,metar_speci_capable,2026-07-10T07:00:00Z,RKPK,ok,2026-07-10,31.0,-1.8,2026-07-10T07:06:53.106352+00:00,C,cooling,1.0
True,Busan,32,31.0,31.0,0.996,0.975,0.6833333333333333,orderbook_archive_first_after_signal,2026-07-10T07:09:18Z,ok,0.996,69071485213024614797794297502570208219069722667185560224552282702095878935548,33,0.995,0.981,0.6833333333333333,orderbook_archive_first_after_signal,2026-07-10T07:09:18Z,ok,0.995,16446615565263155150245074695815659306238288572640291441212396679363334716906,16.114722222222223,2026-07-10T07:08:37Z,True,1.0,413.106,0.99525,0.995,60.0,d1_no,0.00025,31.1,2.13,True,aviationweather_metar,2026-07-10T07:06:53.106352+00:00,whole-degree WU station max,True,66.88510586666666,True,4dd68980a7de268b,True,False,1,['onshore_marine_cooling'],0.004750000000000032,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 100700Z 19011KT 9999 FEW030 FEW250 31/24 Q1012,70f8d4c5c4d7509c,21,same_station_source_profile,66.3818887938788,METAR,32.0,32.0,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_1508.json,aviationweather_metar,413.106,2026-07-10T07:06:53.106352Z,2026-07-10T07:06:53.106352+00:00,1.111,2026-07-10T07:06:51.995737+00:00,metar_speci_capable,2026-07-10T07:00:00Z,RKPK,ok,2026-07-10,31.0,-1.8,2026-07-10T07:06:53.106352+00:00,C,cooling,1.0
True,Beijing,27,26.0,26.0,0.997,0.9955,0.4666666666666667,orderbook_archive_first_after_signal,2026-07-10T08:08:08Z,ok,0.997,86018233340433213187213926201442374837800177722482607054761432623861433614833,28,0.995,0.9945,0.48333333333333334,orderbook_archive_first_after_signal,2026-07-10T08:08:09Z,ok,0.995,80864015802271729893890766358036814070101933196538266050114892627708930501899,16.122777777777777,2026-07-10T08:07:40Z,True,1.0,442.996,0.99715,0.997,30.0,current_yes,0.00015,28.7,1.12,True,aviationweather_metar,2026-07-10T08:07:22.996031+00:00,whole-degree WU station max,True,127.38326718333333,True,e06bd83d2d777c40,True,False,1,['observed_precipitation'],0.002850000000000019,True,thunderstorm,direct_executable_ask,weather_data_feed_service.source_events,METAR ZBAA 100800Z VRB01MPS 9999 -SHRA SCT026 26/25 Q1002 BECMG AT0840 TS,7803d75cbdb25536,40,same_station_source_profile,94.23292497092102,METAR,27.0,27.0,WU market rules station matches configured station,default_wu_station_by_rules,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_1607.json,aviationweather_metar,442.996,2026-07-10T08:07:22.996031Z,2026-07-10T08:07:22.996031+00:00,1.176,2026-07-10T08:07:21.819588+00:00,metar_speci_capable,2026-07-10T08:00:00Z,ZBAA,ok,2026-07-10,26.0,0.0,2026-07-10T08:07:22.996031+00:00,C,flat,1.0
True,Beijing,27,26.0,26.0,0.997,0.9955,0.4666666666666667,orderbook_archive_first_after_signal,2026-07-10T08:08:08Z,ok,0.997,86018233340433213187213926201442374837800177722482607054761432623861433614833,28,0.995,0.9945,0.48333333333333334,orderbook_archive_first_after_signal,2026-07-10T08:08:09Z,ok,0.995,80864015802271729893890766358036814070101933196538266050114892627708930501899,16.122777777777777,2026-07-10T08:07:40Z,True,1.0,442.996,0.99525,0.995,30.0,d1_no,0.00025,28.7,1.12,True,aviationweather_metar,2026-07-10T08:07:22.996031+00:00,whole-degree WU station max,True,127.38326718333333,True,e06bd83d2d777c40,True,False,1,['observed_precipitation'],0.004750000000000032,True,thunderstorm,direct_executable_ask,weather_data_feed_service.source_events,METAR ZBAA 100800Z VRB01MPS 9999 -SHRA SCT026 26/25 Q1002 BECMG AT0840 TS,7803d75cbdb25536,40,same_station_source_profile,94.23292497092102,METAR,27.0,27.0,WU market rules station matches configured station,default_wu_station_by_rules,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_1607.json,aviationweather_metar,442.996,2026-07-10T08:07:22.996031Z,2026-07-10T08:07:22.996031+00:00,1.176,2026-07-10T08:07:21.819588+00:00,metar_speci_capable,2026-07-10T08:00:00Z,ZBAA,ok,2026-07-10,26.0,0.0,2026-07-10T08:07:22.996031+00:00,C,flat,1.0
True,CapeTown,18,17.0,17.0,0.997,0.9775,0.8,orderbook_archive_first_after_signal,2026-07-10T13:10:58Z,ok,0.997,26528038839038370177703809884925578968380854778063730915245757709054865901498,19,0.997,0.9795,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-10T13:10:59Z,ok,0.997,4411179156374672229491876944810477264288075633373624239637176841079921586059,15.16388888888889,2026-07-10T13:10:10Z,True,1.0,590.17,0.99715,0.997,60.0,current_yes,0.00015,15.9,1.17,True,aviationweather_metar,2026-07-10T13:09:50.169993+00:00,whole-degree WU station max,True,69.83616655,True,19009f9c933fb044,True,False,1,['onshore_marine_cooling'],0.002850000000000019,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR FACT 101300Z COR 16016KT CAVOK 17/07 Q1019 NOSIG,555343cfa0082779,19,same_station_source_profile,51.746906785263064,METAR,18.0,18.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_2110.json,aviationweather_metar,590.17,2026-07-10T13:09:50.169993Z,2026-07-10T13:09:50.169993+00:00,0.661,2026-07-10T13:09:49.508976+00:00,metar_speci_capable,2026-07-10T13:00:00Z,FACT,ok,2026-07-10,17.0,-1.8,2026-07-10T13:09:50.169993+00:00,C,cooling,1.0
True,CapeTown,18,17.0,17.0,0.997,0.9775,0.8,orderbook_archive_first_after_signal,2026-07-10T13:10:58Z,ok,0.997,26528038839038370177703809884925578968380854778063730915245757709054865901498,19,0.997,0.9795,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-10T13:10:59Z,ok,0.997,4411179156374672229491876944810477264288075633373624239637176841079921586059,15.16388888888889,2026-07-10T13:10:10Z,True,1.0,590.17,0.99715,0.997,60.0,d1_no,0.00015,15.9,1.17,True,aviationweather_metar,2026-07-10T13:09:50.169993+00:00,whole-degree WU station max,True,69.83616655,True,19009f9c933fb044,True,False,1,['onshore_marine_cooling'],0.002850000000000019,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR FACT 101300Z COR 16016KT CAVOK 17/07 Q1019 NOSIG,555343cfa0082779,19,same_station_source_profile,51.746906785263064,METAR,18.0,18.0,WU market rules station matches configured station,default_wu_station_by_rules,0,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260710_2110.json,aviationweather_metar,590.17,2026-07-10T13:09:50.169993Z,2026-07-10T13:09:50.169993+00:00,0.661,2026-07-10T13:09:49.508976+00:00,metar_speci_capable,2026-07-10T13:00:00Z,FACT,ok,2026-07-10,17.0,-1.8,2026-07-10T13:09:50.169993+00:00,C,cooling,1.0
True,Atlanta,92-93,84.91999999999999,29.4,0.999,0.997,0.15,orderbook_archive_first_after_signal,2026-07-10T20:58:35Z,ok,0.999,42829101633431515688664241119762068456629420636197230409530835741798273208597,94-95,0.999,0.997,0.16666666666666666,orderbook_archive_first_after_signal,2026-07-10T20:58:36Z,ok,0.999,54733241518595409402136402994719347376892221423688838108261112236146409489620,16.96527777777778,2026-07-10T20:58:26Z,True,7.02000000000001,355.386,0.99905,0.999,60.0,current_yes,5e-05,92.7,1.97,True,aviationweather_metar,2026-07-10T20:57:55.386498+00:00,whole-degree WU station max,True,65.9231083,True,5685a08fd845a3cc,True,True,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.0009500000000000064,True,thunderstorm,direct_executable_ask,weather_data_feed_service.source_events,METAR KATL 102052Z 35012KT 5SM -TSRA SCT037CB BKN075 BKN150 OVC200 29/21 A3006 RMK AO2 WSHFT 2036 RAB48 SLP168 VIS N-NE 1 OCNL LTGICCG OHD-N-NE DSNT E SE W TS OHD-N-NE DSNT E SE W MOV SE P0000 60000 T02940206 56008,39f7eaa88979f031,19,same_station_source_profile,60.64080490499211,METAR,33.3,91.94,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260711_0458.json,aviationweather_metar,355.386,2026-07-10T20:57:55.386498Z,2026-07-10T20:57:55.386498+00:00,1.486,2026-07-10T20:57:53.900015+00:00,metar_speci_capable,2026-07-10T20:52:00Z,KATL,ok,2026-07-10,29.4,-7.019999999999998,2026-07-10T20:57:55.386498+00:00,F,cooling,1.0
True,Atlanta,92-93,84.91999999999999,29.4,0.999,0.997,0.15,orderbook_archive_first_after_signal,2026-07-10T20:58:35Z,ok,0.999,42829101633431515688664241119762068456629420636197230409530835741798273208597,94-95,0.999,0.997,0.16666666666666666,orderbook_archive_first_after_signal,2026-07-10T20:58:36Z,ok,0.999,54733241518595409402136402994719347376892221423688838108261112236146409489620,16.96527777777778,2026-07-10T20:58:26Z,True,7.02000000000001,355.386,0.99905,0.999,60.0,d1_no,5e-05,92.7,1.97,True,aviationweather_metar,2026-07-10T20:57:55.386498+00:00,whole-degree WU station max,True,65.9231083,True,5685a08fd845a3cc,True,True,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",0.0009500000000000064,True,thunderstorm,direct_executable_ask,weather_data_feed_service.source_events,METAR KATL 102052Z 35012KT 5SM -TSRA SCT037CB BKN075 BKN150 OVC200 29/21 A3006 RMK AO2 WSHFT 2036 RAB48 SLP168 VIS N-NE 1 OCNL LTGICCG OHD-N-NE DSNT E SE W TS OHD-N-NE DSNT E SE W MOV SE P0000 60000 T02940206 56008,39f7eaa88979f031,19,same_station_source_profile,60.64080490499211,METAR,33.3,91.94,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260711_0458.json,aviationweather_metar,355.386,2026-07-10T20:57:55.386498Z,2026-07-10T20:57:55.386498+00:00,1.486,2026-07-10T20:57:53.900015+00:00,metar_speci_capable,2026-07-10T20:52:00Z,KATL,ok,2026-07-10,29.4,-7.019999999999998,2026-07-10T20:57:55.386498+00:00,F,cooling,1.0
